ANGEL|They are red and terrible and mighty. They bring with them waking dreams of chaos and unmaking, a screeching, scraping song of rust and ashes. The angels of the Heart, as they are known by the inhabitants of the place, are thankfully rare. When the cosmic intelligence at the center of the City Beneath needs something done quickly and without subtlety, it will create one and dispatch it with a specific mission: the destruction of a haven that’s encroaching on valuable resources, avenging the death of a beloved creature, reclaiming something that’s been taken, and so on. As they enter an area, it shifts into an unreal landscape. Walls pulse and seep interstitial fluid, the sound of grinding teeth drowns out all rational thought, and eyes blossom on every available surface.|Crimsonian, Vulperine, Theolosian (anyone who witnesses an angel knows its name instinctively; indeed,they are unable to forget it)|A noise like tearing meat and screaming gristle; Wet red streamers coalescing and spiralling into the shape of an elongated humanoid; An immobile statue of bone with floating masks that shimmer and reform as it speaks.|Each angel is created to fulfil a specific objective, and can’t understand things that aren’t its objective. Sometimes they can’t complete their mission and their programming breaks down, making them even more inscrutable.|Dangerous|20. Reducing an angel’s resistance to 0 will render them unable to move or act; as their flesh rapidly putrefies, it will be born again in some distant stone womb.|Equal to the tier on which they are encountered. PIERCING weapons will not overcome this.|Caul (D12, Occult; when worn, heartsblood creatures will treat you as kin)|Unmaking hands (Damage D10, Piercing)|The first time you see a particular angel, roll Endure+Cursed and mark D10 stress to Mind on a failure.|Cursed, Occult; but angels can be found in any domain if their mission takes them there, and few things can stop them.
HEARTSBLOOD BEAST|These were animals once, but the energies of the Heart and generations of breeding have changed them into something protean and terrible. The smallest are the size of mice (they can shift their bodies into insubstantial shadowstuff, making them nearly impossible to hunt), but those that will pose a threat to delvers tend to be the size of stray dogs, feral pigs, or scavenging foxes. The Heart has no care for the original function of the creature’s limbs and organs. It’s common to see inverted creatures, their spines broken and bent, skittering crablike towards their prey. The limbs of others wither away, their ribcages blossoming out to form centipede-like legs that carry them forwards instead. A normal-looking deer might have, on closer inspection, no discernable mouth on its head; it’s only when it squats over food and disgorges its entire stomach from a ragged maw on its underbelly that it becomes apparent that something’s wrong. Some heartsblood creatures were never normal to start with. In the same way that the Heart is a collection of memories and fears made solid, these animals are flesh-echoes spun from the nightmares of the inhabitants. A bear has never made its way into the Heart, and yet there is one here – or a simulacrum of one, stitched together out of meat and dreams, a ragged imitation of a half-remembered glimpse. Folk stories persist of heartsblood creatures turning up to help injured travelers, especially if said travelers are favored of the Heart; these are mostly lies. There are two profiles here: one for smaller animals (dogs, cats, goats) and one for larger beasts (bears, deer, really big pigs).|None that they use themselves, but the townsfolk in the Heart will ascribe titles to particularly infamous beasts: Red-Tooth, Shadow, Fat Jack.|A skeleton shifting uneasily in an ambulatory sack of flesh; A dog with shark- like rows of teeth that undulate and spasm; An emaciated pig on unstable legs of bone.|Mostly to survive and protect their young; but some have inscrutable motives implanted in their brains by the Heart, making them behave in unpredictablepatterns. HEARTSBLOOD BEAST:|Standard|5|0, usually; 1 if it’s particularly fierce.|Often: Meat and fur (D6); Rarely: Curious and unique bones (D10, Niche).|Teeth and claws (D6).||Wild, Warren
HEARTSEEDS|The Heart experiments. It has limitless power that some say even it doesn’t understand how to use. The shifting tunnels of the City Beneath and the malleable reality down there is one piece of evidence for this theory; another is heartseeds. These nodes of Heart energy are quietly birthed as wriggling, pallid maggots the size of a child’s forearm. They crawl from cracks in the earth, coalesce in forgotten cupboards and bury themselves secretly in the bodies of dead men. Once they feel like they’re in a good enough position, they will form a fleshy cocoon and pupate into something greater: a microcosm of the Heart itself, a testing ground designed to fail. As the cocoon swells and writhes, the area around the heartseed will begin to change. Walls twist and bend, water drips upward and animals crawl into ritual positions around it as they choke on their own liquefied organs. If undiscovered, the seed will grow and bloom intoaflowerofsorts.Bythispointtheareaaroundit will be behaving as if it were one tier deeper than it actually is, and reality will be coming apart at the seams. Gibberish words etch themselves into the|COMPANION. [Minor/Major,Echo] Seeing you as a fellow creature of the Heart,the beast comes to your aid. While this might be useful in the short-term (as it defends you from attackers, feeds you from its breast/regurgitates food into your mouth, leads you to safety, etc.) it will be a problem in the long term. Unless you or a friend kills it (and it will be very upset if you try), it will break into havens to kill people and pets,then bring you their mutilated corpses as gifts. walls; fields of broken glass hang in midair, glintinglikestars;fireburnscold,ornotatall;sound ispluckedfromthemouthsofspeakersandfunneled towardsthecentreofthespace. After a while, the flower will die. Someone will kill it in an attempt to normalise the surroundings or sell it to a collector,or it will be unable to sustain its pocket of unreality and wither away. But the Heart learns from it, if indeed it can be said to learn, and adapts its approaches to be more efficient next time. (Or perhaps more poetic? More terrifying? It is hard to understand what the Heart wants, or if it can want at all.) Heartseeds are akin to delvers in this respect: tendrils of something vast and other, exploring a strange environment and trying to bend it to their will. Approaching and handling a blossoming heartseed inflicts Echo stress – D8 on average, with more for those who try to pluck it out of the ground and transport it elsewhere. An intact and blooming heartseed is a D12 resource with the appropriate domain, and can be used to power rituals and blessings as though it had the Occult and Religion tags. A heartseed in its larval state is worth D10, because they often die during their metamorphosis if transported. APPEARANCE The appearance and effect of a heartseed depends on the domain it is pupating in: CURSED: A purple-black fleshy heart the size of a fist, strung up with sticky red cables of flesh and tendon, beating erratically. The Vermissian Sages say that you could pluck it out and, if you were quick enough, replace someone’s heart with it. This would be a terrible and very exciting way to die. DESOLATE: A patch of raw nothing sitting uneasily in a space where it simply cannot be – everything has to be something, and yet this exists (or, rather, doesn’t exist). It is best described as a sickening sensation that is felt in the stomach when observed; a void that doesn’t quite hurt your eyes to look at, but makes them feel strained, as though you’ve been crossing them. Desolate heartseeds attract the nihilistic worshippers of the Hungry Deep, who are eager to try and observe unalloyed nothingness. They will protect a nascent bloom with their lives. HAVEN: A drow child, huddled and shivering, at the centre of the chaos. They are rooted to the floor, and their palms are affixed to their clutched forearms with a thick, fibrous paste. They babble incoherently, recycling words they’veheardwhilstintheirlarvalstate.Theyare able to tell your name by looking directly into your eyes; this is the only real trick they know. OCCULT: A book or scroll with arcane-looking writing on it; a language you can half-read, or symbols that flit on the edge of your understanding. The pages are vellum-like and the words on them are, from a scholarly point of view, absolute bunkum. They hold no relevance to any ongoing esoteric theories, reference no known beings and don’t follow even the most basic ritual practice. But in the City Beneath, they work – to an extent. They use blood and bone magic akin to those practiced by the witches of Hallow, but they don’t require the user to be infected to cast them. RELIGION: An altar to no god in particular. Unlit candles give off a sickly, wan light regardless, and the images of saints and hallows seem to have been drawn by someone with only a passing understanding of humanoid anatomy. Close examination of the altar reveals it to be made of calcified bone and porous stone, and it’s covered in an astringent salt that inflicts wild hallucinations on anyone who gets it on their skin. TECHNOLOGY: A ticking, whirring clockwork device made from organic materials. Cogs are studded with teeth, belts wrought from loops of hair and skin,“glass” covers are transparent membranes.Though they look imperfect,each error and aberration is perfectly replicated, leading to a machine that is asymmetrical but staggeringly precise. WARREN: A carpet of slowly undulating and shifting mould that seeks out any biomass it can consume – fungus, primarily, but carrion and rotting plant matter are also good. At the centre of the slime colony is a writhing waist- high mass of yellow mould. It covers an area the size of a house in a thin layer of sticky acidic matter that eats away at everything it touches. Attempts to burn out the heartseed result in it panic-sporing,flooding the air with caustic cells in an attempt to escape. WILD: A plump lotus flower, writhing with energy, emitting waves of soporific musk. Animals will rush to feed on the nectar and pollinate it, which is inevitably fatal. The heartseed uses them as raw materials, controlling them with translucent feelers and rebuilding them into something new, which enjoys a brief and frantic life.|||||||||
MALE HARPY|Each male harpy is a magpie-like corvid about the size of a housecat, and they like to take sharp and shiny things from people. They tie the sharp things they take onto their beaks and talons to augment their dive-bombing method of catching prey. Older harpies have a wide array of knives, spear points, bayonets and cutlery attached to their pointed white beaks, and bent carpentry nails, fishing hooks and climbing pitons bound to their feet. One swooping from a cave roof can easily puncture the armour of an incautious delver. Harpies will gladly work in teams to dive-bomb a lone wanderer, quickly rendering them incapable of proper retaliation through pain and blood-loss. The shit-caked birds cackle and caw at their prey as it dies, and often imitate the sound of its death throes, as they are capable (and apparently cruel) mimics. They bring the shiny things back to their bowers: mating sites intended to attract the attention of a female. To a harpy, “shiny” seems to mean occult resonance – they have an instinctive attraction towards items that are used to augment magical spells. Necklaces bearing wicked sigils, black-wax candlesandtwo-headedgoatplacentahaveallbeen stolen from travellers and arranged around the harpy’s mating site in curious patterns. Once the harpy has gathered enough shiny things, it will kill smaller creatures – rats, mice, feral piglets, pitchkin – and drag their corpses back to its bower where it will mark summoning sigils in their blood on the stone floor. Then, working on instinct alone, the harpy will caw out a mating call using fragments of language that it does not understand, stolen from the throats of the dying. This draws the attention of a female. The female harpy is a different beast: a humanoid the height of a drow, with great wings where its hands would be, but no less filthy or callous than the male. The bowers act as summoning circles to draw them forth from whatever hellish dimensiontheydwellin.Theyemergethrougharift in the blood-soaked floor and mate with the male (an act which generally results in his death). Fromthere,theywillscreechforthandexperience the joys that the Heart has to offer: fresh prey, the terror on the faces of their victims, the feeling of flightaftereonsofconfinementintheirgrimdimension. They live on borrowed time, as the magic used to summon them is as bestial and instinctive as they are. Only more death and fear can keep them in the CityBeneath,orelsetheywillcrumbletodustastheir spiritsaredraggedbacktotheirotherworldlyprison. The female harpy will aim to slaughter her way to a haven, kill whoever she can inside and lay as many eggs as possible before her soul is claimed. In time, these grey-black orbs will hatch – always into a male – and they will start the cycle again.|Only those they’ve stolen from people who died nearby.|Imitating the voice of someone whowentmissingfromyourhaven;Tyingafishing hook onto its talons with surprising dexterity; Swooping towards you in a glinting blur.|To take sharp or shiny things; if people are carrying the things and won’t give themup,they’lltrytokillthepeoplebeforehand.|Risky if you attack them as they’re swooping from on high; if you can corner them, they’re Standard.|4|0|Scrap metal (D4, Haven), Occult gewgaws at their bower (D6, Occult).|Sharp things tied to their beaks and claws (D6; D6,Brutal when they’re swooping).||Wild, Desolate, Occult
MARKET SERF|In the twisting depths of the Red Market, gangs of followers devoted to their Incarnadine masters carve out territory with bludgeon, sword and shot. To these serfs, their master is a godlike figure; they were all riddled with debt, and the Incarnadine saved them and their family from ruin in exchange for service. There are many households living comfortably in the lower levels of the City Above thanks to the good work of the Incarnadines and the bloody empires of trade and murder protected by their loyal serfs.|Nux Ab-Crowfer, Quin Ex-Hypatia, Boswell Of-Tennant (Serfs take their master’s given name as their surname, usually with a prefix.)|Pushing jagged shards of coins into their gums to act as teeth; Bears records of their master’s financial transactions like a banner; Chants price lists like sacred mantras.|To bring heaping bounties to the feet of their splendid and gracious lords.|Standard|5|0, or 1 for favoured serfs|Often: A few bloodied nail-like coins (D4, Haven); Rarely: Something you could use as leverage against their master (D10, Religion).|Rusted, jagged blades (D6, Unreliable); one per group will carry either a blessed coin-firing blunderbuss (D6, Point-blank, Spread, One-shot) or a heavy club studded with sacred transactions (D8, Tiring).||Warren, Religion.
MIRROR SPIDERS|In the dim and distant past of the world, a god fled into the Heart, fatally wounded from a thousand cuts. Shattered and broken, it turned into a thousand spiders, each with a shard of mirror on its back in a unique shape. These spiders fled through the Heart to try to evade capture from the god’s enemies. It worked; the spiders were not found. Each is a godlinginitsownright,andeachcultivatesasectof zealously devoted spiders and other, lesser insects around itself. They know that they can eat each other to gain power, and thattheycannotdiefromoldage.The largest and most powerful mirror spider has eaten seventy or so of its kin, and is the size of a dinner plate. (It is in the possession of a High Matriarch of the Church of the Moon Beneath, who uses it to do her hair; the spider believes the relationship to be a sort of marriage.) Mirror spiders themselves aren’t much of a threat, unless they’re huge. The real danger comes from their suicide cults of mad insects ready to give their lives for the living god that walks among them. That, and the fact that should they gather together, they’ll become a full- scale god once more.|Each has a fragment of the true name of their original god; the sort of unwritable syllables that leave a bad taste in your mouth and smoke hanging in the air.|Residing in a tiny temple of discarded newspaper; Sitting beneath a miniature idealised portrait of themselves,created by their followers; Has stuck shards of mirror onto their back to look more impressive to other spiders.|To find and consume other mirror spiders.If you can find someone who can speak to them, they’re often willing to bargain.|Standard|6 per swarm – you can crush any individual member of it without bother.|4. Weapons that hit many insects at once (brooms, burning torches, etc) ignore this protection, but Piercing weapons don’t.|Each mirror spider is worth between a D6 and D12 resource, depending on the size and complexity of the mirror on their back.The miniature holy books and devotional art pieces are of interest to collectors (D8, Niche) but worthless otherwise.|Suicide Spiders that crawl into armour and down throats (D6, Piercing; each time it’s used, remove 1 resistance from the swarm).||Warren, Religion
PITCHKIN|These poor individuals were kicked out of the factories in the City Above because they were too ill to work. Spireblack, the flammable tar-like substance that collects in the eaves of factories, got into their lungs and ravaged their bodies with a black-vein sickness. They fled to the Heart and were warped by its energy until they formed a symbiotic relationship with the poison. Instead of killing them, it made them stronger (and took away their higher reasoning).|Each has a word marked on them which they now use as a name in their heavy, sussurating tongue: Vulpine, Wrath, Serrate, Quill.|Clinging to the underside of the ceiling with long black talons; Pausing to cough and retch up lumps of tar; Huge, jet- black eyes glinting in the darkness.|The pitchkin only want spireblack; they won’t bother you unless you threaten their supply. On occasion, traders carrying spireblack are attacked by bands of pitchkin.|Standard|7|0|Spireblack reserves (D8,Technology)|Filthy teeth and claws (D6)|Pitchkin are extremely flammable. Fire inflicts D8 damage minimum when used against them; however, once a pitchkin is on fire, its unarmed damage increases to D8. There is a martyr caste that sets themselves on fire to protect the stocks, but these are rare.|Technology, Cursed.
RED SAINT|These towering sentinels sit upon jagged thrones on the surface of the Red Moon and listen to the prayers of the faithful in their dreams. When roused from their slumber – usually by invasive delvers or rare incursions from rival heavens – they are terrifying to behold.|Saint Hellisent, Hallow Magdelene, Hallow Prothadeus.|Carrying their own skin to illustrate the way they were martyred; Wrenching huge and rusted greatswords out of the ground and discarding them when they break; Bearing two additional sets of arms that glitter with jewellery.|To be left alone that they might hear those who pray to them.|Standard, but see fallout below.|16|2|Burning Crown (D12)|Rusted blackiron blades (D8, Brutal, Tiring).sted blackiron blades (D8, Brutal, Tiring).|You can’t kill a Red Saint without access to forbidden Rituals of Extinguishing – something that the Church of the Moon Beneath might possess. The worst you can do without is incapacitate them, but their wounds heal in minutes.|Religion, Desolate.
SIGNAL-BOX CULTISTS|The Vermissian still has functioning signal-boxes: tiny rooms with mechanisms and lights that stutter into life, attempting to direct a train network that long ago slipped into a parasite dimension. Most of the information they give out is nonsense, and Vermissian Knights steer clear of them with a wariness that borders on superstition. But tunnel-dwellers – the luckless souls who make their homes in the infrastructure – view them as blind oracles that whisper secret truths to those brave enough to listen. The most devoted of these cults guard the signal- boxes, drape themselves in tattered raiments of the Vermissian (mouldering curtains from first-class carriages, rivets hammered into their bodies, implanted glass lenses over their eyes) and offer gibberish wisdom to vagrants in exchange for service or supplies.|Haslam, Levier, Forneau|Limbs reinforced with rusted pistons with weeping sores at the entry points; Chanting the names of Vermissian stations, some of which exist; Blind, carrying a legless cultist on their back who directs them|To induct others into the cult,to trade for supplies, ortoslitthethroatofaVermissian Knight and have them bleed out overthesignalmachinery.|Standard|4|0|AWAKE. [Minor, Blood/Fortune] The sounds of battle draw the half-asleep saint to full consciousness. Increase its difficulty to Risky and its resistance by 8.|Rustedbutstill- functional machinery(D8,Niche)|Levers, wrenches and bent rails (D6, Tiring); A fragment of the true nature of the Vermissian (D8, Ranged, One-Shot – inflicts Mind stress).|Technology, Warren. There are a wide variety of similar mystery cults in the Heart: The Followers of the Midden Mistress, The Wretched Galvanic, The Seers of the One Moon. Aside from their domain and descriptors, they function identically in mechanical terms.
SKELETON COURTIER|In the depths of the Heart, the ancient burial mound of an unnamed King sits beneath a tree. He lives out his afterlife here in a sort of skeletal heaven, completely off his head on narcotic tree sap drunk from the roots above him. His court, a selection of similarly dead weirdos and lackeys, fightoveraccesstotheintoxicatingsapinaneffort to put up with his interminably long war stories.|Ser Ethelren, Ser Fenswith, Lady Arablast.|Absolutely loaded on intoxicating tree sap and having problems holding it together; Bearing the crest of one of the noble houses of the City Above; Has arms and legs tied on with twine.|To hear interesting stories and brutallymurderanyonewhotriestostealtheirsap.|Standard|12|0 to 2, depending on whether they were buried in diaphanous gowns or ancient platemail.|Tarnished but beautiful burial goods (D8).|Ancient and rusted weaponry (D8, Unreliable)|Their bony bodies lower stress dice from edgedweaponsandbulletsby1step,butincrease the stress dice from blunt weapons by 1 step.|Warren
SOURCEBORN CONSTRUCT|These blurring storms of noise and steel are the guardians of the Source. On occasion one might creep out in search of supplies (rare metals or silicates), but it’s almost unheard of for one to leave their heavenly circuit.|None in a language that you can understand or speak|A flickering blur of steel and carbon dust that forms itself into hexagons; A box which appears motionless until razor- sharp filaments spiral forth to maim you; A hovering obsidian orb that telekinetically flings objects around it with terrifying precision.|To protect and repair the mysterious sigils on the walls of the Source.|Risky|20|2|Machine heart (D12, Technology); Impossibly keen metal to make sword-blades from (D8, Technology).|Ultrasharp metal shards (D6, Brutal, Piercing, Ranged. When used by another, they gain the Dangerous tag).||Technology
THE BLIGHTED|There is a parasite that gives trees the gift of awakening and curses them to insanity. Burrowing and festering deep within the wood,the parasite changes the tree’s biology to allow it to move on creaking dirt-caked legs of root and bark.They can think as quickly as the short-lived creatures that flit around it in the forests of their home. But the parasite is hungry, and eats the wood of the tree in which it lives. Specimens have rents in theirbarklinedwithwrithingfleshygrowthswhere they’ve been ravaged by it. The tree feels this sensation as an irritation at first, but as the parasite grows in power and mass,it builds to a overwhelming,unscratchable itch that drives the tree insane. The only way of stopping the itch is to give the parasite something else to eat, and even then, it is only temporary. Plant matter doesn’t work fast enough and the trees don’t want to risk further infection, so they hunt and kill other creatures, pressing the corpses against their festering wounds to calm the ravening sensation a little. Those that have been infected the longest lope through the forests with their kills impaled on their upper branches, occasionally pausing to tear off a rotting limb and hold it against themselves as they visibly relax. If the trees don’t consume their kills immediately, they gain some measure of control over the flesh via the parasite. Hands can grasp and manipulate; horrifically, faces can speak in the voices of their original owners. A blighted who’s managed to learn to speak through a stolen mouth is rare, and acts as a caretaker for other, less fortunate infected trees. If the blighted weren’t all insane, they might be able to form a culture and somehow communicate with the other inhabitants of the Heart; in the moments when their minds calm down enough, they sometimes realise the horror of what they’re doing. But the clarity doesn’t last for long, and it brings a guilt that’s as bad as the itch itself.|They don’t have, or really understand, names. Things are marked by their geographic location rather than a distinct moniker; where you are is what you are.|Carrying a twitching deer in its upper branches, letting the blood spill down over its wounds; Desperately trying to stand still amidst a copse of trees in ambush; Cradling a corpse to their “chest” as the parasite consumes it.|To get the itching to stop.|Standard|10|4 versus weapons that can’t chop down trees.|Parasite samples (D8, Cursed, Dangerous); Assorted equipment and bones from its kills (D6, Haven, Wild).|Impaling branches (D8).|Fire inflicts double stress when used against the Blighted.|Wild
THE CARNIVAL|The Carnival is eternal. Sometimes the dancers die – their feet battered and bloody, crawling through abandoned districts on hands and knees – but the Carnival itself endures. The Carnival is a brain-wyrm that makes sufferers dance, cavort and sing. It is a gift, a cruel reward, sung into the minds of the undercity by a misguided warrior- poet of the aelfir in the City Above. It is greater than the sufferers. Those who can write will scratch the words of it into walls, a word- salad nonsense that infects the reader. It hides in thechorusesoffolksongs,inthesingsonggamesof children,in the graffiti on gang territory.Occasionally infection will come to a head and an entire haven will take leave of their senses, drape themselves in colourful rags and skip through the Heart, singing the virus aloud to bewitch and lure in passers-by. There’s nothing malicious about them; honestly, even though they’re malnourished and their feet are ruined with blisters, they seem genuinely happy.There are far worse ways to die down here. The Carnival is not the only brain-wyrm to enter the Heart. Mummer-Pox causes sufferers to act out a great aelfir play that can only be performed over millennia, and this was deemed to be the most effective method of staging it. The Labyrinth Curse compels the infected to construct complex mazes riddled with traps around things it deems “unsafe.” Scrivener’s Lament forces those that carry it to write book after book, all attributed to the same author.|Gregor, Yolande, Klimpt|Shaking a noise-maker made out of pebbles in a glass bottle; Carrying a severely malnourished (but uninfected) infant on their back; Daubing a shaky mural depicting the carnival onto the wall nearby in white paint.|To dance! Occasionally they’ll come to their senses and scream in pain and hunger, so many troupes include a drummer among their number to keep the rhythm going.|Standard|4|0|Whatever they were carrying when the infection took hold (D4)|Mostcarrybreakablenoise-makers (D6, One-Shot) or are unarmed; none of them are really interested in fighting, though.|Hearing the song of the carnival triggers an Endure+Occult check with D6 stress to Mind on a failure; getting up close (say, if you were rescuing someone) increases the stress to D8. You can overcome this by plugging your ears with wax or something similar, but this brings its own complications.|Haven, Desolate.
THE CULT OF KNIVES|There is a room where the knives that long for blood go. Ifadagger isusedin enough murders,it’llgeta taste for it.It will nudge and tweak the hand of its owner, begging to be plunged back into warm wet flesh and feel the shuaddering of a last breath. For a knife, a murder is heaven – an ecstatic joy, a sharp and sudden power, a sense of purpose fulfilled. Knives who kill enough people start to realise that it is they, the “tools,” that hold the power – not the people who carry them. They begin their own crusades against those they hate, often changing hands several times throughout a string of murders. Even though they are incapable of moving under their own power,they will warp the minds of those that hold them and call out to others of the same kind. They will begin to plot; they will form a cult. ThisishowyouwillmeettheCultofKnives:inan unassumingbasementorattic,whilstsearchingfor something long thought lost, you will find a wide- eyed man or woman who has apparently stabbed themselves with thirteen or so knives and left them lodged inside their body. They are rendered senseless from the power of the knives.Within them,the cult of knives commune and whisper in a silent language of steel and blood and sharpness. As they notice you,they pluck one of the congregation from their thigh and lurch towards you,trailing blood,in an attempt to silence you. The following stats are for the current “bearer” of the congregation – the knives are unable to move or attack under their own power.|If you remove every knife,they’ll come to their senses and tell you their name (Theodora, Clovin, Wyst) before dying of blood loss.|Wearing bedraggled fancy clothing, like they walked here from the City Above; Calmly rearranging the knives in their torso as different cultists hold the floor; Coiled and ready to strike, assassin-like, eyes scanning the entrances.|To stop any interruptions to the meeting.|Risky|12|0|Barely anything, although you might be able to sell the knives.|Upwards of 13 knives (D6, Spread), all of which have been used in multiple killings and are, in a way, intelligent.|TheCultofKnivesignoresallProtection.|Desolate, Warren, Haven.
THE WALKING WOUNDED|Years ago – maybe even a century – the 33rd Regiment of the Allied Defence Force were sent into the City Below to pacify the Heart. Some of them went AWOL and would go on to form the Hounds as they are today; most weren’t that lucky. You hear tell of what happened as you work your way down a bottle of rotgut liquor and huddle around the trashfires for warmth. They are horror stories even for denizens of the Heart: legends of unimaginable cruelty on the part of the 33rd’s mad aelfir officers, themselves protected by shimmering wards and implanted saints’ bones, marching at the head of columns of deranged and mind-blasted soldiers. You hear whispers of doomed assaults on heartsblood enclaves and encroaching angels; of the walls of the City Beneath coming alive and crushing – chewing – the poor bastards to pulp; of the flesh and bone of the troopers coming untethered and rewriting itself in hideous new shapes. The worst thing, they say, is that the least fortunate of all never died. They can’t. In their final moments of torment and confusion and panic, they bonded with the eternal energy of the Heart.|You’ll see them at the edge of a haven: rendered senseless, bandages over ruined eyes, hands on each others’ shoulders, limping in a line to Goddess knows where. If you’re brave enough to approach them, you’ll realise that they aren’t a line of soldiers – they’re all one mass of flesh, hand- stumps fused to shoulders, ancient iron pistols melded with puckered skin and twisting bone. Some are still following their original mission: to dig trenches, repel invaders or take enemy positions and slaughter everyone inside. Most are just trying, blind and broken, to get home.|Somewhere in the depths of their minds they still remember their names, but their mouths are too twisted to pronounce them.|Medals fused into chest; Bandages made of crumbling skin covering their sores; Dragging a heavy jezail that’s melded with their arms.|To get home, which is a hopeless endeavour,becauseeveryonetheyknowdieddecades ago. Many believe they’re still at war with whoever they meet,but you might be able to convince them otherwise. Some, accompanied by their insane and undying aelfir officers, are still attemptingtofulfiltheiroriginalmissions.|Standard – they can’t see or hear properly, but they can sense movement uncannily well.|4 for each “surviving” member of the squad; most have around resistance 20.|2|Nothing of value.|Jagged bone spurs and knives (D6); Rusted archaic firearms (D8, Ranged). Items removed from the walking wounded corrode completely within minutes, making them unusable by others.|Cursed, Desolate.
TUNNEL BRIGANDS|Opportunistic thieves and killers who prey on vulnerable travellers for their valuables are most commonly found in the tunnels to the Home Nations, but there are no end of places where a gang of desperate people with guns and a lack of empathy can makeaquickbuck.They’renotupforaseriousfight, and are generally open to bargaining if you have somethingtoofferthattheycan’tjusttakefromyou.|Jonjak, Pentekost, Mataline|Wearing stolen Yssian fashion, taken from refugees; Younger than they really oughttobeforthislineofwork;Chestboundtight withbandages,bracesholdinguptheirtrousers.|To take money or valuables from folk using the tunnels to emigrate into the City Above; however, they’re boisterous and insecure,so some will take any opportunity to prove their cruelty and superiority.|Standard|5|1|Wedding rings, gold teeth, family heirlooms, silk scarves (D8, Taboo); a few doses of dagger, godsmoke or chum (D6, narcotic).|Heavy-bore archaic pistol (D8, Brutal, Ranged, Loud, One-Shot), Wicked-looking knives (D6, Brutal).||Warren, but Brigands can be found anywhere there are travellers.
WRETCH|The Tunnels of Wet Filth are home to some of the most wretched and disgusting creatures that the Heart has to offer. A lot of the inhabitants keep them as pets, and an enthusiastic breeding/ surgery program has ensured a wide variety of absolutely horrible monstrosities.|Gronk, Chrysanth, Felice.|It was once four dogs, but now it’s melded together; A crocodilian shadow, barely seen; A snorting, finned piglike creature with a horrible wide mouth.|To eat delicious legs poked under the surface of the filth, or to perform “tricks” (usually eating delicious legs) for their masters in exchange for treats (further delicious legs).||6|2 when they’re under the surface, but 0 if you can get them onto dry-ish land.|The creatures and the garbage they swim around in are useless outside of the tunnels, but inside it they’re praised with a reverence that makes them (D6, Religion) items.|Dirty teeth and claws (D6, Degenerating);Retchingbile(D6,markstresstoSupplies).||Warren